id,categoria,receptor_sugerido,tipo_receptor,ligando_sugerido,tipo_ligando,objetivo_de_prueba,nota_clinico_tecnica
M001,Vitaminas,VDR (receptor de vitamina D),Receptor nuclear,Calcitriol,Vitamina,hormona y vitamina liposoluble,union vitamina-receptor para pruebas endocrinas
M002,Vitaminas,RXR alfa,Receptor nuclear,Acido retinoico,Vitamina/retinoide,modulacion transcripcional,prueba clasica de retinoides
M003,Vitaminas,Transtiretina,Proteina transportadora,Retinol,Vitamina,union de transporte,util para vitamina A y proteinas transportadoras
M004,Vitaminas,Albumina serica humana,Proteina transportadora,Vitamina K1,Vitamina,union plasmática,estudio simple de transporte
M005,Vitaminas,PPAR gamma,Receptor nuclear,Alfa-tocoferol,Vitamina,metabolismo lipido,prueba de vitamina E como compuesto hidrofobico
M006,Vitaminas,Carbonic anhydrase II,Enzima,Riboflavina,Vitamina,interaccion enzima-vitamina,estudio exploratorio
M007,Vitaminas,Acetilcolinesterasa,Enzima,Tiamina,Vitamina,prueba neurometabolica,ligando pequeño de prueba
M008,Vitaminas,Dihidrofolato reductasa,Enzima,Acido folico,Vitamina/cofactor,union a enzima folato,clasico para evaluar pocket de folatos
M009,Vitaminas,Biotin carboxylase,Enzima,Biotina,Vitamina/cofactor,union cofactor-enzima,ensayo de alta especificidad
M010,Vitaminas,VDR (receptor de vitamina D),Receptor nuclear,Calcifediol,Vitamina,comparacion con calcitriol,util para comparar analogos
M011,Productos naturales,ACE2,Enzima de membrana,Quercetina,Flavonoide,union exploratoria,compuesto natural muy usado en docking
M012,Productos naturales,COX-2,Enzima,Curcumina,Polifenol,prueba antiinflamatoria,caso comun de productos naturales
M013,Productos naturales,MAO-B,Enzima,Resveratrol,Polifenol,prueba neurologica,compuesto antioxidante conocido
M014,Productos naturales,Aromatasa,Enzima,Genisteina,Isoflavona,prueba endocrina,ligando vegetal tipo fitoestrogeno
M015,Productos naturales,EGFR quinasa,Quinasa,EGCG,Polifenol,prueba oncológica,compuesto de te verde
M016,Productos naturales,BACE1,Enzima,Cafeina,Alcaloide,union exploratoria,ligando pequeño muy conocido
M017,Productos naturales,Acetilcolinesterasa,Enzima,Nicotina,Alcaloide,prueba neurofarmacologica,ligando pequeño rapido de evaluar
M018,Productos naturales,PDE5,Enzima,Capsaicina,Producto natural,prueba de bolsillo hidrofobico,interes en señalizacion vascular
M019,Productos naturales,Xantina oxidasa,Enzima,Luteolina,Flavonoide,prueba antioxidante,objetivo en metabolismo purinas
M020,Productos naturales,Tirosinasa,Enzima,Kaempferol,Flavonoide,prueba dermatologica,enzima frecuente en docking cosmetico
M021,Farmacos,Albumina serica humana,Proteina transportadora,Paracetamol,Farmaco,union plasmática,prueba simple de transporte y afinidad
M022,Farmacos,COX-2,Enzima,Ibuprofeno,Farmaco,antiinflamatorio clásico,ideal como caso de prueba rapido
M023,Farmacos,COX-2,Enzima,Naproxeno,Farmaco,antiinflamatorio clásico,comparacion con otros AINEs
M024,Farmacos,Acetilcolinesterasa,Enzima,Donepezilo,Farmaco,objetivo neurologico,ligando clasico en Alzheimer
M025,Farmacos,BACE1,Enzima,Memantina,Farmaco,prueba neurologica,exploratorio para bolsillo enzimatica
M026,Farmacos,Aromatasa,Enzima,Letrozol,Farmaco,objetivo endocrino,onco-endocrinologia
M027,Farmacos,Receptor de androgenos,Receptor nuclear,Flutamida,Farmaco,objetivo hormonal,comparacion antiandrogenica
M028,Farmacos,ER alfa,Receptor nuclear,Tamoxifeno,Farmaco,objetivo hormonal,onco-endocrinologia mamaria
M029,Farmacos,EGFR quinasa,Quinasa,Erlotinib,Farmaco,objetivo oncológico,caso muy comun en docking de quinasas
M030,Farmacos,HIV proteasa,Enzima,Lopinavir,Farmaco,objetivo antiviral,prueba clasica de antivirales
